FullOperation,bigquery,clickhouse,dask,datafusion,druid,duckdb,impala,mssql,mysql,oracle,pandas,polars,postgres,pyspark,snowflake,sqlite,trino
ibis.expr.operations.geospatial.GeoArea,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoAsBinary,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoAsEWKB,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoAsEWKT,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoAsText,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoAzimuth,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoBuffer,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoCentroid,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoContains,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoContainsProperly,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoCoveredBy,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoCovers,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoCrosses,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoDFullyWithin,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoDWithin,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoDifference,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoDisjoint,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoDistance,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoEndPoint,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
