FullOperation,bigquery,clickhouse,dask,datafusion,druid,duckdb,impala,mssql,mysql,oracle,pandas,polars,postgres,pyspark,snowflake,sqlite,trino
ibis.expr.operations.temporal.DateTruncate,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True
ibis.expr.operations.temporal.DayOfWeekIndex,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True
ibis.expr.operations.temporal.DayOfWeekName,True,True,True,False,False,True,True,False,True,False,True,True,True,True,True,True,True
ibis.expr.operations.temporal.ExtractDay,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.temporal.ExtractDayOfYear,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,True,True
ibis.expr.operations.temporal.ExtractEpochSeconds,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True
ibis.expr.operations.temporal.ExtractHour,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.temporal.ExtractMicrosecond,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True
ibis.expr.operations.temporal.ExtractMillisecond,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True
ibis.expr.operations.temporal.ExtractMinute,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.temporal.ExtractMonth,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.temporal.ExtractQuarter,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.temporal.ExtractSecond,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.temporal.ExtractWeekOfYear,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True
ibis.expr.operations.temporal.ExtractYear,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.temporal.IntervalAdd,False,False,True,False,False,True,False,False,False,False,True,True,False,True,False,False,False
ibis.expr.operations.temporal.IntervalFloorDivide,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False
ibis.expr.operations.temporal.IntervalFromInteger,True,True,True,False,False,True,True,False,True,False,True,True,True,True,False,False,False
ibis.expr.operations.temporal.IntervalMultiply,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False
ibis.expr.operations.temporal.IntervalSubtract,False,False,True,False,False,True,False,False,False,False,True,True,False,True,False,False,False
ibis.expr.operations.temporal.Strftime,True,True,True,False,False,True,True,False,True,False,True,True,True,True,True,True,True
ibis.expr.operations.temporal.StringToTimestamp,True,False,False,False,False,True,False,False,True,False,False,True,False,True,True,False,True
ibis.expr.operations.temporal.Time,True,False,True,False,True,True,False,True,True,True,True,True,True,False,True,True,True
ibis.expr.operations.temporal.TimeAdd,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False
ibis.expr.operations.temporal.TimeDiff,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False
ibis.expr.operations.temporal.TimeFromHMS,True,False,False,False,True,True,False,True,True,True,False,False,True,False,True,True,True
ibis.expr.operations.temporal.TimeSub,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False
ibis.expr.operations.temporal.TimeTruncate,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ibis.expr.operations.temporal.TimestampAdd,True,True,True,False,False,True,True,False,True,False,True,True,True,True,True,False,False
ibis.expr.operations.temporal.TimestampDiff,False,True,True,False,False,True,True,False,True,False,True,True,True,True,False,False,False
ibis.expr.operations.temporal.TimestampFromUNIX,True,True,True,False,False,True,True,True,False,False,True,True,False,True,True,False,True
ibis.expr.operations.temporal.TimestampFromYMDHMS,True,True,False,False,True,True,False,True,True,True,False,True,True,False,True,True,True
ibis.expr.operations.temporal.TimestampSub,True,True,True,False,False,True,True,False,True,False,True,True,True,True,True,False,False
ibis.expr.operations.temporal.TimestampTruncate,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True
ibis.expr.operations.temporal.TimestampUnary,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False
ibis.expr.operations.udf.ScalarUDF,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ibis.expr.operations.vectorized.AnalyticVectorizedUDF,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
ibis.expr.operations.vectorized.ElementWiseVectorizedUDF,False,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False
ibis.expr.operations.vectorized.ReductionVectorizedUDF,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
ibis.expr.operations.window.RangeWindowFrame,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ibis.expr.operations.window.RowsWindowFrame,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ibis.expr.operations.window.WindowBoundary,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ibis.expr.operations.window.WindowFunction,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True
